"RefSeq.Locus.Tag"	"Mccann 2011"	"CF fraction of Souza 2011"	"membrane of Souza 2011"	"Malen 2011"	"Malen 2010 TritonX"	"Malen 2007"	"Braunstein 2000"	"Chitale 2001"	"Wolfe 2010"	"Gu 2003"	"Sulzenbacher 2006"	"Mawuenyega 2005 Membrane"	"Mawuenyega 2005 Cell Wall"	"Rosenkrands 2000"	"Gomez 2000"	"McDonough 2008"	"Xiong 2005"	"Count of num of times identified as exported"	"Signal P predicts sp"	"TatP predicts Tat sp"	"TMHMM predicts transmembrane domain"	"num of times predicted to have an export signal"	"Macaque Deadman Dutta 2010"	"Macrophage TRASH Jyothi 2005"	"Macrophage TRASH BCG Cole 2005"	"Macrophage enriched in acidified phagosomes TRASH BCG Cole 2005"	"Mouse TRASH Sassetti"	"Mouse Deadman Lamichhane 2005"	"Cholesterol in vitro TRASH Griffin 2011"	"in vitro essential Sassetti 2003"	"in vitro essential Griffin 2011"	"BALB div c in vivo expressed Talaat 2004"	"SCID in vivo expressed Talaat 2004"	"only 7H9 expressed Talaat 2004"	"in vivo only expressed Talaat 2004"	"Sasky serine hydrolase"	"Identified in Bell 2012 (high density mspec-any fractions)"
"Rv1068c"																		0				0								"no-data"	"non-essential"						
"Rv1069c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"					"Y"	
"Rv1070c"		"Y"	"Y"						"Y"									3				0								"non-essential"	"non-essential"						"Y"
"Rv1071c"		"Y"	"Y"															2				0							"Y"	"non-essential"	"non-essential"						"Y"
"Rv1072"			"Y"	"Y"			"Y"											3			"Y"	1								"no-data"	"essential"						
"Rv1073"												"Y"						1				0								"non-essential"	"non-essential"						
"Rv1074c"		"Y"	"Y"			"Y"			"Y"	"Y"								5				0								"non-essential"	"non-essential"						"Y"
"Rv1075c"						"Y"			"Y"			"Y"						3	"Y"			1								"non-essential"	"non-essential"						
"Rv1076"																		0				0	"Y"							"non-essential"	"essential"					"Y"	
"Rv1077"		"Y"	"Y"			"Y"			"Y"									4				0								"non-essential"	"non-essential"						"Y"
"Rv1078"	"Y"		"Y"	"Y"					"Y"									4			"Y"	1								"non-essential"	"essential"						"Y"
"Rv1079"		"Y"	"Y"															2				0		"Y"						"non-essential"	"non-essential"						"Y"
"Rv1080c"		"Y"	"Y"						"Y"									3				0								"non-essential"	"essential"						"Y"
"Rv1081c"				"Y"														1			"Y"	1								"non-essential"	"essential"						
"Rv1082"																		0				0								"non-essential"	"non-essential"						
"Rv1083"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv1084"		"Y"																1				0							"Y"	"non-essential"	"non-essential"						
"Rv1085c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1086"																		0				0								"non-essential"	"essential"						
"Rv1087"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv1087A"																		0				0								"no-data"	"non-essential"						
"Rv1088"																		0				0								"non-essential"	"non-essential"						
"Rv1089"																		0				0								"non-essential"	"non-essential"						
"Rv1089A"																		0				0								"no-data"	"non-essential"						
"Rv1090"																		0				0								"non-essential"	"non-essential"						
"Rv1091"																		0				0								"no-data"	"non-essential"						
"Rv1092c"																		0				0					"Y"			"essential"	"essential"						
"Rv1093"		"Y"	"Y"						"Y"									3				0				"Y"				"no-data"	"essential"						"Y"
"Rv1094"			"Y"						"Y"									2				0								"essential"	"essential"						"Y"
"Rv1095"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv1096"	"Y"	"Y"	"Y"	"Y"					"Y"									5			"Y"	1		"Y"					"Y"	"growth-defect"	"non-essential"						"Y"
"Rv1097c"		"Y"	"Y"	"Y"					"Y"									4			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv1098c"		"Y"	"Y"			"Y"			"Y"									4				0								"essential"	"essential"						"Y"
"Rv1099c"			"Y"															1				0			"Y"		"Y"			"non-essential"	"essential"						"Y"
"Rv1100"			"Y"	"Y"					"Y"									3			"Y"	1								"growth-defect"	"non-essential"						"Y"
"Rv1101c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv1102c"																		0				0								"non-essential"	"non-essential"						
"Rv1103c"																		0				0								"non-essential"	"non-essential"						
"Rv1104"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv1105"																		0				0								"non-essential"	"non-essential"						
"Rv1106c"			"Y"							"Y"								2				0								"non-essential"	"non-essential"						"Y"
"Rv1107c"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv1108c"																		0				0								"no-data"	"non-essential"						
"Rv1109c"			"Y"						"Y"									2				0					"Y"			"non-essential"	"non-essential"						"Y"
"Rv1110"			"Y"															1				0								"no-data"	"essential"						
"Rv1111c"																		0			"Y"	1					"Y"			"no-data"	"essential"						
"Rv1112"																		0				0								"non-essential"	"non-essential"						
"Rv1113"																		0				0								"non-essential"	"non-essential"						
"Rv1114"																		0				0								"non-essential"	"non-essential"						
"Rv1115"																		0			"Y"	1				"Y"				"non-essential"	"non-essential"						
"Rv1116"																		0				0								"non-essential"	"non-essential"						
"Rv1116A"																		0				0								"no-data"	"non-essential"						
"Rv1117"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv1118c"																		0				0								"non-essential"	"non-essential"						
"Rv1119c"																		0				0								"non-essential"	"non-essential"						
"Rv1120c"																		0				0								"non-essential"	"non-essential"						
"Rv1121"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv1122"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv1123c"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv1124"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv1125"																		0				0								"growth-defect"	"non-essential"						
"Rv1126c"																		0				0								"essential"	"essential"						
"Rv1127c"																		0				0								"non-essential"	"non-essential"						
"Rv1128c"									"Y"									1				0					"Y"			"essential"	"non-essential"						
"Rv1129c"																		0				0							"Y"	"no-data"	"non-essential"						
"Rv1130"									"Y"									1				0							"Y"	"non-essential"	"non-essential"						"Y"
"Rv1131"																		0				0							"Y"	"non-essential"	"non-essential"						
"Rv1132"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv1133c"		"Y"	"Y"						"Y"									3				0								"essential"	"essential"						"Y"
"Rv1134"																		0				0								"non-essential"	"non-essential"						
"Rv1135A"																		0				0								"no-data"	"non-essential"						
"Rv1135c"																		0	"Y"			1				"Y"				"non-essential"	"non-essential"						
"Rv1136"																		0				0								"non-essential"	"non-essential"						
"Rv1137c"																		0				0								"non-essential"	"non-essential"						
"Rv1138c"																		0				0								"non-essential"	"non-essential"						
"Rv1139c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1140"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv1141c"																		0				0								"non-essential"	"non-essential"						
"Rv1142c"																		0				0								"non-essential"	"non-essential"						
"Rv1143"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						
"Rv1144"			"Y"						"Y"									2				0					"Y"			"non-essential"	"non-essential"						"Y"
"Rv1145"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1146"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1147"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1148c"																		0				0								"non-essential"	"non-essential"						
"Rv1149"																		0				0								"no-data"	"non-essential"						
"Rv1150"																		0			"Y"	1								"no-data"	"no-data"						
"Rv1151c"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv1152"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1153c"										"Y"								1				0								"non-essential"	"non-essential"						
"Rv1154c"																		0				0								"non-essential"	"non-essential"						
"Rv1155"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1156"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1157c"	"Y"		"Y"															2	"Y"			1								"no-data"	"non-essential"						
"Rv1158c"						"Y"												1	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv1159"																		0			"Y"	1								"non-essential"	"essential"						
"Rv1159A"		"Y"																1				0								"no-data"	"non-essential"						"Y"
"Rv1160"																		0				0								"non-essential"	"non-essential"						
"Rv1161"			"Y"			"Y"			"Y"			"Y"						4				0								"non-essential"	"non-essential"						
"Rv1162"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv1163"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1164"	"Y"		"Y"	"Y"														3			"Y"	1								"non-essential"	"non-essential"						
"Rv1165"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv1166"		"Y"	"Y"			"Y"												3	"Y"			1								"essential"	"essential"						
"Rv1167c"																		0				0								"non-essential"	"non-essential"						
"Rv1168c"																		0				0								"non-essential"	"non-essential"						
"Rv1169c"			"Y"															1				0								"essential"	"non-essential"						
"Rv1170"			"Y"															1				0								"non-essential"	"essential"						"Y"
"Rv1171"																		0			"Y"	1			"Y"					"non-essential"	"non-essential"						
"Rv1172c"			"Y"															1	"Y"			1								"no-data"	"non-essential"						
"Rv1173"																		0				0								"no-data"	"essential"						
"Rv1174c"	"Y"	"Y"				"Y"												3	"Y"			1								"non-essential"	"non-essential"						"Y"
"Rv1175c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv1176c"													"Y"					1				0	"Y"							"non-essential"	"non-essential"						
"Rv1177"			"Y"															1				0								"essential"	"essential"						"Y"
"Rv1178"			"Y"															1				0								"growth-defect"	"non-essential"						"Y"
"Rv1179c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv1180"																		0				0								"no-data"	"non-essential"						"Y"
"Rv1181"			"Y"						"Y"									2				0	"Y"							"non-essential"	"non-essential"						"Y"
"Rv1182"																		0				0								"essential"	"non-essential"						
"Rv1183"			"Y"	"Y"		"Y"						"Y"						4	"Y"		"Y"	2					"Y"		"Y"	"no-data"	"non-essential"						
"Rv1184c"			"Y"	"Y"					"Y"									3	"Y"		"Y"	2					"Y"			"no-data"	"non-essential"					"Y"	
"Rv1185c"																		0				0	"Y"				"Y"			"non-essential"	"non-essential"						"Y"
"Rv1186c"						"Y"							"Y"					2				0								"essential"	"non-essential"						
"Rv1187"																		0				0								"essential"	"essential"						"Y"
"Rv1188"			"Y"															1				0								"essential"	"non-essential"						
"Rv1189"																		0				0								"no-data"	"non-essential"						
"Rv1190"																		0				0								"no-data"	"non-essential"					"Y"	
"Rv1191"			"Y"															1				0								"no-data"	"non-essential"					"Y"	"Y"
"Rv1192"			"Y"															1				0					"Y"			"non-essential"	"non-essential"					"Y"	
"Rv1193"																		0				0							"Y"	"essential"	"non-essential"						"Y"
"Rv1194c"			"Y"							"Y"								2				0								"essential"	"non-essential"						"Y"
"Rv1195"																		0	"Y"			1								"no-data"	"non-essential"						"Y"
"Rv1196"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv1197"						"Y"			"Y"									2				0								"non-essential"	"non-essential"						
"Rv1198"		"Y"	"Y"			"Y"			"Y"				"Y"					5				0								"non-essential"	"non-essential"						"Y"
"Rv1199c"																		0				0								"non-essential"	"non-essential"						
"Rv1200"																		0			"Y"	1	"Y"							"non-essential"	"non-essential"						
"Rv1201c"		"Y"	"Y"						"Y"									3				0								"essential"	"essential"						"Y"
"Rv1202"			"Y"															1				0								"essential"	"essential"						
"Rv1203c"																		0				0								"non-essential"	"non-essential"						
"Rv1204c"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv1205"																		0				0								"non-essential"	"non-essential"						
"Rv1206"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv1207"																		0				0								"non-essential"	"non-essential"						
"Rv1208"																		0				0								"essential"	"essential"						
"Rv1209"			"Y"	"Y"					"Y"									3			"Y"	1								"non-essential"	"non-essential"						
"Rv1210"																		0				0								"non-essential"	"non-essential"						
"Rv1211"																		0				0		"Y"			"Y"			"non-essential"	"non-essential"						"Y"
"Rv1212c"																		0				0								"non-essential"	"non-essential"						
"Rv1213"			"Y"															1				0			"Y"					"non-essential"	"non-essential"						
"Rv1214c"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv1215c"			"Y"															1				0								"essential"	"non-essential"					"Y"	"Y"
"Rv1216c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv1217c"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						
"Rv1218c"			"Y"									"Y"						2				0			"Y"					"non-essential"	"non-essential"						
"Rv1219c"																		0				0								"non-essential"	"non-essential"						
"Rv1220c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv1221"																		0				0								"non-essential"	"essential"						
"Rv1222"																		0				0								"non-essential"	"non-essential"						
"Rv1223"		"Y"	"Y"	"Y"					"Y"									4			"Y"	1								"essential"	"essential"						"Y"
"Rv1224"																		0			"Y"	1					"Y"			"non-essential"	"non-essential"						
"Rv1225c"																		0				0								"non-essential"	"non-essential"						
"Rv1226c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv1227c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv1228"		"Y"																1				0								"non-essential"	"non-essential"						
"Rv1229c"			"Y"															1				0								"essential"	"essential"						
"Rv1230c"	"Y"								"Y"									2	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv1231c"			"Y"	"Y"					"Y"									3			"Y"	1								"non-essential"	"non-essential"						
"Rv1232c"																		0				0								"essential"	"non-essential"						
"Rv1233c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1234"			"Y"	"Y"														2			"Y"	1	"Y"							"non-essential"	"non-essential"						"Y"
"Rv1235"		"Y"	"Y"															2	"Y"			1		"Y"			"Y"			"non-essential"	"non-essential"						
"Rv1236"			"Y"	"Y"														2		"Y"	"Y"	2		"Y"	"Y"		"Y"			"non-essential"	"non-essential"						
"Rv1237"			"Y"	"Y"														2			"Y"	1		"Y"			"Y"			"non-essential"	"non-essential"						
"Rv1238"			"Y"															1				0		"Y"			"Y"	"Y"		"non-essential"	"essential"						
"Rv1239c"	"Y"		"Y"	"Y"														3			"Y"	1								"non-essential"	"non-essential"						
"Rv1240"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv1241"																		0				0								"no-data"	"non-essential"						
"Rv1242"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1243c"																		0				0								"non-essential"	"non-essential"						
"Rv1244"			"Y"						"Y"									2	"Y"			1		"Y"			"Y"			"non-essential"	"non-essential"						
"Rv1245c"			"Y"						"Y"	"Y"								3				0								"non-essential"	"non-essential"						"Y"
"Rv1246c"																		0				0								"non-essential"	"non-essential"						
"Rv1247c"																		0				0								"non-essential"	"non-essential"						
"Rv1248c"									"Y"									1				0								"essential"	"essential"						"Y"
"Rv1249c"																		0			"Y"	1				"Y"				"non-essential"	"non-essential"						
"Rv1250"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1251c"																		0				0								"non-essential"	"non-essential"						
"Rv1252c"		"Y"	"Y"			"Y"												3	"Y"			1								"non-essential"	"non-essential"						
"Rv1253"									"Y"									1				0								"no-data"	"non-essential"						
"Rv1254"			"Y"															1			"Y"	1								"essential"	"essential"						
"Rv1255c"																		0				0								"no-data"	"non-essential"						
"Rv1256c"									"Y"									1				0								"no-data"	"non-essential"						
"Rv1257c"		"Y"	"Y"									"Y"						3				0								"no-data"	"non-essential"						
"Rv1258c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1259"																		0				0								"non-essential"	"non-essential"						
"Rv1260"																		0				0								"no-data"	"non-essential"						"Y"
"Rv1261c"			"Y"						"Y"									2				0								"no-data"	"non-essential"						"Y"
"Rv1262c"																		0				0								"non-essential"	"non-essential"						
"Rv1263"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv1264"																		0				0	"Y"							"non-essential"	"non-essential"						
"Rv1265"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv1266c"									"Y"									1			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv1267c"									"Y"			"Y"						2				0								"non-essential"	"non-essential"						"Y"
"Rv1268c"															"Y"			1	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv1269c"		"Y"	"Y"			"Y"			"Y"						"Y"			5	"Y"	"Y"		2								"non-essential"	"non-essential"						"Y"
"Rv1270c"		"Y"	"Y"	"Y"		"Y"			"Y"									5	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv1271c"																		0	"Y"		"Y"	2								"no-data"	"non-essential"						"Y"
"Rv1272c"			"Y"	"Y"														2			"Y"	1			"Y"		"Y"			"non-essential"	"non-essential"						
"Rv1273c"			"Y"	"Y"					"Y"									3	"Y"		"Y"	2		"Y"						"non-essential"	"non-essential"						
"Rv1274"			"Y"															1	"Y"			1								"essential"	"non-essential"						"Y"
"Rv1275"		"Y"	"Y"						"Y"									3	"Y"			1								"no-data"	"non-essential"						"Y"
"Rv1276c"																		0				0								"non-essential"	"non-essential"						
"Rv1277"																		0				0								"non-essential"	"non-essential"						
"Rv1278"									"Y"									1				0								"essential"	"non-essential"						
"Rv1279"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						
"Rv1280c"			"Y"	"Y"														2		"Y"	"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv1281c"			"Y"						"Y"			"Y"						3				0								"no-data"	"non-essential"						
"Rv1282c"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv1283c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1284"			"Y"															1				0					"Y"			"essential"	"non-essential"						"Y"
"Rv1285"																		0				0								"essential"	"essential"						"Y"
"Rv1286"																		0				0								"essential"	"essential"						
"Rv1287"																		0				0								"non-essential"	"non-essential"						
"Rv1288"			"Y"															1				0								"non-essential"	"non-essential"					"Y"	
"Rv1289"																		0				0								"non-essential"	"non-essential"						
"Rv1290A"																		0				0								"no-data"	"non-essential"						
"Rv1290c"																		0		"Y"	"Y"	2								"non-essential"	"non-essential"						
"Rv1291c"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv1292"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv1293"			"Y"															1				0								"essential"	"essential"						"Y"
"Rv1294"									"Y"									1				0								"essential"	"essential"						"Y"
"Rv1295"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv1296"																		0	"Y"			1								"essential"	"essential"						
"Rv1297"			"Y"						"Y"	"Y"								3				0								"essential"	"essential"						"Y"
"Rv1298"																		0				0								"essential"	"non-essential"						
"Rv1299"			"Y"															1				0								"essential"	"essential"						"Y"
"Rv1300"																		0				0								"essential"	"essential"						
"Rv1301"			"Y"															1				0								"essential"	"essential"						
"Rv1302"			"Y"															1			"Y"	1								"non-essential"	"essential"						
"Rv1303"			"Y"															1			"Y"	1		"Y"						"essential"	"non-essential"						
"Rv1304"			"Y"	"Y"														2			"Y"	1					"Y"			"no-data"	"essential"						"Y"
"Rv1305"																		0			"Y"	1								"essential"	"essential"						
"Rv1306"			"Y"	"Y"					"Y"									3			"Y"	1								"essential"	"non-essential"						"Y"
"Rv1307"			"Y"	"Y"					"Y"									3			"Y"	1								"essential"	"essential"						"Y"
"Rv1308"			"Y"						"Y"									2				0								"essential"	"essential"						"Y"
"Rv1309"			"Y"						"Y"									2				0								"essential"	"essential"						"Y"
"Rv1310"			"Y"			"Y"			"Y"	"Y"								4				0								"essential"	"essential"						"Y"
"Rv1311"			"Y"						"Y"									2				0								"essential"	"non-essential"						"Y"
"Rv1312"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv1313c"																		0				0								"no-data"	"non-essential"						
"Rv1314c"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv1315"																		0				0								"essential"	"essential"						
"Rv1316c"										"Y"								1				0								"non-essential"	"non-essential"						
"Rv1317c"													"Y"					1				0								"non-essential"	"non-essential"						
"Rv1318c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1319c"	"Y"																	1			"Y"	1								"non-essential"	"non-essential"						
"Rv1320c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1321"																		0				0								"non-essential"	"non-essential"						
"Rv1322"																		0				0								"non-essential"	"non-essential"						
"Rv1322A"			"Y"															1				0								"no-data"	"non-essential"						
"Rv1323"		"Y"	"Y"			"Y"												3				0					"Y"			"non-essential"	"non-essential"						"Y"
"Rv1324"			"Y"						"Y"									2				0								"no-data"	"non-essential"						"Y"
"Rv1325c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1326c"		"Y"																1				0								"essential"	"essential"						
"Rv1327c"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv1328"		"Y"	"Y"									"Y"						3				0								"growth-defect"	"non-essential"						"Y"
"Rv1329c"										"Y"								1				0								"non-essential"	"non-essential"						
"Rv1330c"									"Y"									1				0				"Y"				"no-data"	"non-essential"						
"Rv1331"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv1332"																		0				0		"Y"			"Y"			"non-essential"	"non-essential"						
"Rv1333"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv1334"																		0	"Y"			1		"Y"						"non-essential"	"non-essential"						
"Rv1335"																		0				0								"non-essential"	"non-essential"						
"Rv1336"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1337"			"Y"	"Y"														2			"Y"	1		"Y"						"non-essential"	"non-essential"						
"Rv1338"																		0				0					"Y"			"no-data"	"essential"						
"Rv1339"			"Y"															1				0								"essential"	"essential"						
"Rv1340"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv1341"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1342c"			"Y"	"Y"														2			"Y"	1								"essential"	"non-essential"						
"Rv1343c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"essential"						
"Rv1344"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv1345"																		0				0								"growth-defect"	"non-essential"						
"Rv1346"																		0				0								"no-data"	"non-essential"						
"Rv1347c"																		0				0								"essential"	"essential"						
"Rv1348"										"Y"								1			"Y"	1								"essential"	"essential"						
"Rv1349"																		0			"Y"	1								"essential"	"essential"						
"Rv1350"			"Y"															1				0								"essential"	"non-essential"						
"Rv1351"																		0				0								"no-data"	"non-essential"						
"Rv1352"		"Y"				"Y"												2	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv1353c"																		0				0								"non-essential"	"non-essential"						
"Rv1354c"																		0				0								"non-essential"	"non-essential"						
"Rv1355c"																		0				0								"no-data"	"essential"						
"Rv1356c"																		0				0								"no-data"	"non-essential"						
"Rv1357c"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv1358"												"Y"						1				0								"no-data"	"non-essential"						
"Rv1359"																		0				0								"non-essential"	"non-essential"						
"Rv1360"																		0				0								"non-essential"	"non-essential"						
"Rv1361c"									"Y"									1				0								"non-essential"	"non-essential"						"Y"
"Rv1362c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv1363c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv1364c"																		0				0								"non-essential"	"non-essential"						
"Rv1365c"																		0				0								"non-essential"	"non-essential"						
"Rv1366"																		0				0								"non-essential"	"non-essential"						
"Rv1367c"																		0				0								"non-essential"	"non-essential"						
"Rv1368"	"Y"	"Y"	"Y"	"Y"					"Y"									5	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv1369c"																		0				0								"n/a"	"non-essential"						
"Rv1370c"																		0				0								"n/a"	"non-essential"						"Y"
"Rv1371"						"Y"												1			"Y"	1	"Y"				"Y"			"no-data"	"non-essential"						
"Rv1372"																		0				0								"non-essential"	"non-essential"						
"Rv1373"																		0				0								"non-essential"	"non-essential"						
"Rv1374c"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv1375"																		0				0								"non-essential"	"non-essential"						
"Rv1376"																		0				0								"non-essential"	"non-essential"						
"Rv1377c"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						
"Rv1378c"																		0				0								"non-essential"	"non-essential"						
"Rv1379"									"Y"									1				0								"no-data"	"non-essential"						
"Rv1380"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv1381"			"Y"															1				0								"essential"	"essential"						"Y"
"Rv1382"			"Y"	"Y"		"Y"												3			"Y"	1								"essential"	"essential"						
"Rv1383"			"Y"															1				0								"essential"	"essential"						
"Rv1384"			"Y"															1				0								"no-data"	"essential"						"Y"
"Rv1385"			"Y"															1				0								"no-data"	"non-essential"						
"Rv1386"			"Y"			"Y"												2				0								"non-essential"	"non-essential"						"Y"
"Rv1387"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv1388"			"Y"						"Y"									2				0								"essential"	"non-essential"						"Y"
"Rv1389"			"Y"															1				0								"essential"	"essential"						
"Rv1390"			"Y"						"Y"									2				0								"essential"	"essential"						
"Rv1391"																		0				0								"essential"	"essential"						"Y"
"Rv1392"			"Y"						"Y"	"Y"								3				0								"essential"	"essential"						"Y"
"Rv1393c"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv1394c"																		0				0								"non-essential"	"non-essential"						
"Rv1395"																		0				0								"no-data"	"non-essential"						
"Rv1396c"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv1397c"			"Y"							"Y"								2				0								"non-essential"	"non-essential"						"Y"
"Rv1398c"																		0				0								"no-data"	"non-essential"						
"Rv1399c"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv1400c"																		0				0								"non-essential"	"essential"					"Y"	
"Rv1401"			"Y"	"Y"														2	"Y"		"Y"	2								"no-data"	"non-essential"						
"Rv1402"																		0				0								"non-essential"	"essential"						
"Rv1403c"																		0				0								"non-essential"	"non-essential"						
"Rv1404"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv1405c"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv1406"																		0				0								"essential"	"essential"						
"Rv1407"									"Y"				"Y"					2				0								"non-essential"	"non-essential"						
"Rv1408"																		0				0								"no-data"	"essential"						
"Rv1409"			"Y"															1				0								"essential"	"essential"						
"Rv1410c"			"Y"	"Y"														2			"Y"	1		"Y"	"Y"		"Y"			"non-essential"	"non-essential"						"Y"
"Rv1411c"		"Y"	"Y"						"Y"									3	"Y"			1		"Y"	"Y"		"Y"			"non-essential"	"non-essential"						"Y"
"Rv1412"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						
"Rv1413"																		0				0								"non-essential"	"non-essential"						
"Rv1414"																		0				0								"non-essential"	"non-essential"						
"Rv1415"						"Y"												1				0								"essential"	"essential"						
"Rv1416"			"Y"															1				0								"essential"	"non-essential"						"Y"
"Rv1417"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						
"Rv1418"			"Y"	"Y"														2	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv1419"	"Y"	"Y"				"Y"												3	"Y"			1								"non-essential"	"non-essential"						"Y"
"Rv1420"																		0				0		"Y"						"essential"	"essential"						
"Rv1421"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv1422"																		0				0					"Y"			"non-essential"	"non-essential"						"Y"
"Rv1423"									"Y"									1				0								"non-essential"	"essential"						"Y"
"Rv1424c"			"Y"						"Y"									2	"Y"			1								"non-essential"	"non-essential"						
"Rv1425"																		0				0								"non-essential"	"non-essential"						
"Rv1426c"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"					"Y"	
"Rv1427c"																		0				0								"no-data"	"non-essential"						
"Rv1428c"																		0				0							"Y"	"non-essential"	"non-essential"						
"Rv1429"												"Y"						1				0								"non-essential"	"non-essential"						
"Rv1430"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"					"Y"	
"Rv1431"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						
"Rv1432"																		0				0							"Y"	"no-data"	"essential"						
