Genome	Accession	Locus Tag	RefSeq Locus Tag	Annotation	Feature Type	Start	End	Length	Strand	Protein ID	AA Length	Gene Symbol	Product	Pseudo Gene	Bound Moiety	AntiCodon	
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0687		RefSeq	CDS	787099	787926	828	+		275	fabG	3-ketoacyl-(acyl-carrier-protein) reductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0688		RefSeq	CDS	787940	789160	1221	+		406		putative ferredoxin reductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0692		RefSeq	CDS	791831	792160	330	+		109		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0693		RefSeq	CDS	792157	793332	1176	+		391	pqqE	coenzyme PQQ synthesis protein E				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0694		RefSeq	CDS	793335	794525	1191	+		396	lldD1	L-lactate dehydrogenase (cytochrome) LldD1				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0695		RefSeq	CDS	794715	795470	756	+		251		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0696		RefSeq	CDS	795519	796931	1413	+		470		membrane sugar transferase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0697		RefSeq	CDS	796933	798372	1440	+		479		dehydrogenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0698		RefSeq	CDS	798833	799444	612	+		203		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0699		RefSeq	CDS	799629	799850	222	+		73		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rvnt07		RefSeq	tRNA	731603	731676	74	+				tRNA-Met				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0700		RefSeq	misc_feature	800571	800618	48	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0700		RefSeq	CDS	800487	800792	306	+		101	rpsJ	30S ribosomal protein S10				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0701		RefSeq	misc_feature	801124	801195	72	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0701		RefSeq	CDS	800809	801462	654	+		217	rplC	50S ribosomal protein L3				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0702		RefSeq	CDS	801462	802133	672	+		223	rplD	50S ribosomal protein L4				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0703		RefSeq	misc_feature	802370	802417	48	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0703		RefSeq	CDS	802133	802435	303	+		100	rplW	50S ribosomal protein L23				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0704		RefSeq	misc_feature	803182	803217	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0704		RefSeq	CDS	802528	803370	843	+		280	rplB	50S ribosomal protein L2				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0705		RefSeq	misc_feature	803567	803641	75	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0705		RefSeq	CDS	803411	803692	282	+		93	rpsS	30S ribosomal protein S19				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0706		RefSeq	misc_feature	803965	804039	75	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0706		RefSeq	CDS	803689	804282	594	+		197	rplV	50S ribosomal protein L22				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0707		RefSeq	CDS	804282	805106	825	+		274	rpsC	30S ribosomal protein S3				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0708		RefSeq	CDS	805110	805526	417	+		138	rplP	50S ribosomal protein L16				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0708		RefSeq	misc_feature	805353	805388	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0709		RefSeq	CDS	805526	805759	234	+		77	rpmC	50S ribosomal protein L29				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0710		RefSeq	CDS	805756	806166	411	+		136	rpsQ	30S ribosomal protein S17				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0710		RefSeq	misc_feature	806080	806118	39	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0711		RefSeq	misc_feature	806452	806496	45	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0711		RefSeq	CDS	806335	808698	2364	+		787	atsA	arylsulfatase AtsA				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0711		RefSeq	misc_feature	806575	806613	39	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0711		RefSeq	misc_feature	806731	806760	30	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0712		RefSeq	CDS	808746	809645	900	+		299		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0713		RefSeq	CDS	809946	810887	942	+		313		transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0714		RefSeq	CDS	811373	811741	369	+		122	rplN	50S ribosomal protein L14				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0714		RefSeq	misc_feature	811550	811630	81	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0715		RefSeq	CDS	811742	812059	318	+		105	rplX	50S ribosomal protein L24				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0715		RefSeq	misc_feature	811766	811810	45	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0716		RefSeq	CDS	812059	812622	564	+		187	rplE	50S ribosomal protein L5				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0717		RefSeq	misc_feature	812693	812761	69	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0717		RefSeq	CDS	812627	812812	186	+		61	rpsN	30S ribosomal protein S14				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0718		RefSeq	CDS	812976	813374	399	+		132	rpsH	30S ribosomal protein S8				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0718		RefSeq	misc_feature	813279	813332	54	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0719		RefSeq	CDS	813398	813937	540	+		179	rplF	50S ribosomal protein L6				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0719		RefSeq	misc_feature	813860	813886	27	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0721		RefSeq	misc_feature	814607	814654	48	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0721		RefSeq	misc_feature	814502	814600	99	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0721		RefSeq	CDS	814328	814990	663	+		220	rpsE	30S ribosomal protein S5				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0722		RefSeq	CDS	814993	815190	198	+		65	rpmD	50S ribosomal protein L30				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0723		RefSeq	misc_feature	815517	815609	93	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0723		RefSeq	misc_feature	815259	815282	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0723		RefSeq	CDS	815190	815630	441	+		146	rplO	50S ribosomal protein L15				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0724		RefSeq	CDS	815663	817534	1872	+		623	sppA	protease IV SppA				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0729		RefSeq	CDS	821507	822853	1347	+		448	xylB	D-xylulose kinase XylB				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0730		RefSeq	CDS	822866	823594	729	+		242		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0732		RefSeq	misc_feature	825325	825381	57	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0732		RefSeq	misc_feature	825022	825081	60	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0732		RefSeq	CDS	824800	826125	1326	+		441	secY	preprotein translocase subunit SecY				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0733		RefSeq	CDS	826122	826667	546	+		181	adk	adenylate kinase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0733		RefSeq	misc_feature	826362	826397	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0734		RefSeq	CDS	826670	827470	801	+		266	mapA	methionine aminopeptidase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0735		RefSeq	CDS	827543	828076	534	+		177	sigL	RNA polymerase sigma factor SigL				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0735		RefSeq	misc_feature	827660	827698	39	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0736		RefSeq	CDS	828140	828892	753	+		250		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0737		RefSeq	CDS	829207	829704	498	+		165		transcriptional regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0738		RefSeq	CDS	830062	830610	549	+		182		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0739		RefSeq	CDS	830855	831661	807	+		268		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0740		RefSeq	CDS	831776	832303	528	+		175		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0741		RefSeq	CDS	832534	832848	315	+		104		transposase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0742		RefSeq	CDS	832981	833508	528	+		175	PE_PGRS8	PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0745		RefSeq	CDS	835154	835681	528	+		175		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0746		RefSeq	CDS	835701	838052	2352	+		783	PE_PGRS9	PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0747		RefSeq	misc_feature	840371	840418	48	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0747		RefSeq	CDS	838451	840856	2406	+		801	PE_PGRS10	PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0748		RefSeq	CDS	840947	841204	258	+		85		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0749		RefSeq	CDS	841228	841656	429	+		142		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0750		RefSeq	CDS	842033	842278	246	+		81		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0754		RefSeq	CDS	846159	847913	1755	+		584	PE_PGRS11	PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0757		RefSeq	CDS	851608	852351	744	+		247	phoP	two component system response transcriptional positive regulator PHOP				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0758		RefSeq	CDS	852396	853853	1458	+		485	phoR	two component system response sensor kinase membrane associated PHOR				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0768		RefSeq	CDS	860912	862381	1470	+		489	aldA	aldehyde dehydrogenase NAD dependent AldA				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0768		RefSeq	misc_feature	861683	861706	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0769		RefSeq	CDS	862412	863158	747	+		248		short chain dehydrogenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0770		RefSeq	CDS	863256	864143	888	+		295		dehydrogenase/reductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0771		RefSeq	CDS	864140	864574	435	+		144		4-carboxymuconolactone decarboxylase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0772		RefSeq	CDS	864586	865854	1269	+		422	purD	phosphoribosylamine--glycine ligase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0775		RefSeq	CDS	868407	869030	624	+		207		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0777		RefSeq	CDS	870008	871426	1419	+		472	purB	adenylosuccinate lyase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0777		RefSeq	misc_feature	870833	870862	30	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0778		RefSeq	CDS	871431	872675	1245	+		414	cyp126	cytochrome P450 126				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0778		RefSeq	misc_feature	872496	872525	30	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0780		RefSeq	misc_feature	873922	873948	27	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0780		RefSeq	CDS	873343	874236	894	+		297	hemH	phosphoribosylaminoimidazole-succinocarboxamide synthase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0781		RefSeq	CDS	874233	874943	711	+		236	ptrBa	oligopeptidase B				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0782		RefSeq	CDS	874732	876390	1659	+		552	ptrBb	oligopeptidase B				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0784		RefSeq	CDS	878638	879324	687	+		228		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0785		RefSeq	CDS	879340	881040	1701	+		566		putative FAD-binding dehydrogenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0787		RefSeq	CDS	881459	882418	960	+		319		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0788		RefSeq	CDS	882760	883434	675	+		224	purQ	phosphoribosylformylglycinamidine synthase I				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0788		RefSeq	misc_feature	883003	883038	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0793		RefSeq	CDS	886719	887024	306	+		101		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0795		RefSeq	CDS	889072	889398	327	+		108		transposase IS6110				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0796		RefSeq	CDS	889395	890333	939	+		312		transposase IS6110				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0797		RefSeq	CDS	890388	891482	1095	+		364		IS1547 transposase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rvnt08		RefSeq	tRNA	733524	733596	73	+				tRNA-Trp				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0800		RefSeq	CDS	893318	894619	1302	+		433	pepC	putative aminopeptidase 2				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0801		RefSeq	CDS	894631	894978	348	+		115		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0803		RefSeq	CDS	895820	898084	2265	+		754	purL	phosphoribosylformylglycinamidine synthase II				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0804		RefSeq	misc_feature	898480	898512	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0804		RefSeq	CDS	898081	898710	630	+		209		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0805		RefSeq	CDS	898831	899787	957	+		318		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0807		RefSeq	CDS	901635	902024	390	+		129		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0808		RefSeq	misc_feature	903251	903289	39	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0808		RefSeq	CDS	902111	903694	1584	+		527	purF	amidophosphoribosyltransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0809		RefSeq	CDS	903725	904819	1095	+		364	purM	phosphoribosylaminoimidazole synthetase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0812		RefSeq	CDS	906423	907292	870	+		289		4-amino-4-deoxychorismate lyase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0818		RefSeq	CDS	910972	911739	768	+		255		transcriptional regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0819		RefSeq	CDS	911736	912683	948	+		315		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0820		RefSeq	misc_feature	913170	913214	45	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0820		RefSeq	CDS	912726	913502	777	+		258	phoT	phosphate ABC transporter ATP-binding protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0820		RefSeq	misc_feature	912834	912857	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0826		RefSeq	CDS	919634	920689	1056	+		351		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0829		RefSeq	CDS	921575	921865	291	+		96		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0830		RefSeq	CDS	921970	922875	906	+		301		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0832		RefSeq	CDS	924951	925364	414	+		137	PE_PGRS12	PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0833		RefSeq	CDS	925361	927610	2250	+		749	PE_PGRS13	PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0835		RefSeq	CDS	930953	931597	645	+		214	lpqQ	lipoprotein LpqQ				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0835		RefSeq	misc_feature	930989	931021	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0838		RefSeq	misc_feature	934756	934788	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0838		RefSeq	CDS	934720	935490	771	+		256	lpqR	lipoprotein LpqR				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0839		RefSeq	CDS	935577	936389	813	+		270		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0841		RefSeq	CDS	937593	937835	243	+		80		transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0842		RefSeq	CDS	938112	939404	1293	+		430		integral membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0843		RefSeq	CDS	939388	940392	1005	+		334		dehydrogenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0845		RefSeq	CDS	941190	942467	1278	+		425		two component sensor kinase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0847		RefSeq	misc_feature	944382	944414	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0847		RefSeq	CDS	944343	944735	393	+		130	lpqS	lipoprotein LpqS				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0848		RefSeq	CDS	944938	946056	1119	+		372	cysK2	cysteine synthase A CysK2				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0849		RefSeq	CDS	946056	947315	1260	+		419		integral membrane transport protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0850		RefSeq	CDS	947312	947644	333	+		110		transposase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0852		RefSeq	CDS	948559	949395	837	+		278	fadD16	fatty-acid-CoA ligase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0852		RefSeq	misc_feature	948757	948789	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0854		RefSeq	CDS	951183	951626	444	+		147		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0855		RefSeq	CDS	951632	952711	1080	+		359	far	fatty-acid-CoA racemase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0856		RefSeq	CDS	952825	953229	405	+		134		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0857		RefSeq	CDS	953257	953730	474	+		157		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0859		RefSeq	misc_feature	956226	956267	42	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0859		RefSeq	misc_feature	955338	955394	57	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0859		RefSeq	CDS	955077	956288	1212	+		403	fadA	acetyl-CoA acetyltransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0859		RefSeq	misc_feature	956121	956171	51	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0860		RefSeq	CDS	956293	958455	2163	+		720	fadB	fatty oxidation protein FadB				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0863		RefSeq	CDS	962599	962880	282	+		93		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0864		RefSeq	CDS	962890	963393	504	+		167	moaC	molybdenum cofactor biosynthesis protein C				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0865		RefSeq	CDS	963390	963872	483	+		160	mog	molybdopterin biosynthesis Mog protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0866		RefSeq	CDS	963869	964294	426	+		141	moaE2	molybdenum cofactor biosynthesis protein E2				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0871		RefSeq	CDS	967898	968305	408	+		135	cspB	cold shock-like protein B CspB				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0873		RefSeq	CDS	970505	972457	1953	+		650	fadE10	acyl-CoA dehydrogenase FADE10				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0877		RefSeq	CDS	976075	976863	789	+		262		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0880		RefSeq	CDS	978934	979365	432	+		143		MarR family transcriptional regulator				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0881		RefSeq	CDS	979362	980228	867	+		288		rRNA methyltransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0882		RefSeq	CDS	980225	980509	285	+		94		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0885		RefSeq	CDS	982762	983784	1023	+		340		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0886		RefSeq	misc_feature	983938	983973	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0886		RefSeq	CDS	983803	985530	1728	+		575	fprB	NADPH:adrenodoxin oxidoreductase FprB				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0888		RefSeq	CDS	987233	988705	1473	+		490		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0892		RefSeq	CDS	993853	995340	1488	+		495		monooxygenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0894		RefSeq	CDS	996524	997705	1182	+		393		LuxR family transcriptional regulator				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0894		RefSeq	misc_feature	996722	996745	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0895		RefSeq	CDS	997782	999299	1518	+		505		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0896		RefSeq	CDS	999472	1000767	1296	+		431	gltA	type II citrate synthase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0896		RefSeq	misc_feature	1000387	1000425	39	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0899		RefSeq	misc_feature	1003304	1003381	78	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0899		RefSeq	CDS	1002812	1003792	981	+		326	ompA	outer membrane protein A OMPA				
Mycobacterium tuberculosis H37Rv	NC_000962	Rvnt09		RefSeq	tRNA	850642	850713	72	-				tRNA-Thr				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0900		RefSeq	CDS	1003805	1003957	153	+		50		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0901		RefSeq	CDS	1003957	1004484	528	+		175		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0905		RefSeq	CDS	1008207	1008938	732	+		243	echA6	enoyl-CoA hydratase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0906		RefSeq	CDS	1008944	1010062	1119	+		372		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0907		RefSeq	CDS	1010136	1011734	1599	+		532		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0908		RefSeq	misc_feature	1012631	1012651	21	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0909		RefSeq	CDS	1014681	1014860	180	+		59		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0910		RefSeq	CDS	1014866	1015300	435	+		144		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0911		RefSeq	CDS	1015398	1016171	774	+		257		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0912		RefSeq	CDS	1016236	1016685	450	+		149		transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0913c		RefSeq	CDS	1017217	1018725	1509	-		502		dioxygenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0917		RefSeq	CDS	1022087	1023868	1782	+		593	betP	glycine betaine transport integral membrane protein BetP				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0918		RefSeq	CDS	1024211	1024687	477	+		158		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0919		RefSeq	CDS	1024684	1025184	501	+		166		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0921		RefSeq	CDS	1027104	1027685	582	+		193		resolvase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0922		RefSeq	CDS	1027685	1029337	1653	+		550		transposase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0928		RefSeq	CDS	1034903	1036015	1113	+		370	pstS3	periplasmic phosphate-binding lipoprotein PSTS3 (PBP-3) (PSTS3) (PHOS1)				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0928		RefSeq	misc_feature	1034939	1034971	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0929		RefSeq	misc_feature	1036631	1036717	87	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0929		RefSeq	CDS	1036028	1037002	975	+		324	pstC2	phosphate ABC transporter transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0930		RefSeq	CDS	1036999	1037925	927	+		308	pstA1	phosphate ABC transporter transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0933		RefSeq	CDS	1041264	1042094	831	+		276	pstB	phosphate ABC transporter ATP-binding protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0933		RefSeq	misc_feature	1041753	1041797	45	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0933		RefSeq	misc_feature	1041423	1041446	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0934		RefSeq	CDS	1042115	1043239	1125	+		374	pstS1	periplasmic phosphate-binding lipoprotein PSTS1 (PBP-1) (PSTS1)				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0934		RefSeq	misc_feature	1042154	1042186	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0935		RefSeq	misc_feature	1043911	1043997	87	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0935		RefSeq	CDS	1043299	1044315	1017	+		338	pstC1	phosphate ABC transporter transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0936		RefSeq	misc_feature	1044842	1044928	87	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0936		RefSeq	CDS	1044317	1045222	906	+		301	pstA2	phosphate ABC transporter transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0938		RefSeq	CDS	1046136	1048415	2280	+		759		ATP-dependent DNA ligase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0942		RefSeq	CDS	1052360	1052638	279	+		92		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0944		RefSeq	CDS	1053765	1054241	477	+		158		formamidopyrimidine-DNA glycosylase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0945		RefSeq	CDS	1054247	1055008	762	+		253		short chain dehydrogenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0945		RefSeq	misc_feature	1054682	1054768	87	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0949		RefSeq	CDS	1058260	1060575	2316	+		771	uvrD1	ATP-dependent DNA helicase II UVRD1				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0949		RefSeq	misc_feature	1058383	1058406	24	+								
